:)),/html/layout2/images/smiley/Grin.png
:-P,/html/layout2/images/smiley/StickingOutTongue.png
B-),/html/layout2/images/smiley/WearingSunglasses.png
:-(,/html/layout2/images/smiley/Frowning.png
:(,/html/layout2/images/smiley/Frowning.png
:-D,/html/layout2/images/smiley/Grin.png
X-(,/html/layout2/images/smiley/AngryFace.png
;),/html/layout2/images/smiley/Winking.png
;-),/html/layout2/images/smiley/Winking.png
:-/,/html/layout2/images/smiley/Gasp.png
:-),/html/layout2/images/smiley/Smiling.png
:-)),/html/layout2/images/smiley/Grin.png
:),/html/layout2/images/smiley/Smiling.png
:((,/html/layout2/images/smiley/Crying.png
:-((,/html/layout2/images/smiley/Crying.png
