Pacific/Kwajalein;International Date Line West
Pacific/Midway;Midway Island, Samoa
HST;Hawaii
AST;Alaska
US/Pacific-New;Pacific Time (US & Canada), Tijuana
US/Arizona;Arizona
America/Chihuahua;Chihuahua, La Paz, Mazatlan
US/Mountain;Mountain Time (US & Canada)
America/Cancun;Central America
Canada/Central;Central Time (US & Canada)
America/Guatemala;Central America
America/Mexico_City;Guadalahara, Mexico City, Monterrey
Canada/Saskatchewan;Sasketchewan
America/Bogota;Bogota, Lima, Quito
America/Toronto;Eastern Time (US & Canada)
US/East-Indiana;Indiana (East)
Canada/Atlantic;Atlantic Time (Canada)
America/Caracas;Caracas, La Paz
America/Santiago;Santiago
America/St_Johns;Newfoundland
America/Araguaina;Brasilia
America/Araguaina;Buenos Aires, Georgetown
America/Godthab;Greenland
Brazil/DeNoronha;Mid-Atlantic
Atlantic/Azores;Azores
Atlantic/Cape_Verde;Cape Verse Is.
Africa/Casablanca;Casablanca, Monrovia
Europe/London;Dublin, Edinburgh, Lisbon, London
Europe/Amsterdam;Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
Europe/Belgrade;Belgrade, Bratislava, Budapest, Ljubljana, Prague
Europe/Brussels;Brussels, Copenhagen, Madrid, Paris
Europe/Sarajevo;Sarajevo, Skopje, Warsaw, Zagreb
Africa/Kinshasa;West Central Africa
Europe/Athens;Athens, Beirut, Istambul, Minsk
Europe/Bucharest;Bucharest
Africa/Cairo;Cairo
Africa/Harare;Harare, Pretoria
Europe/Helsinki;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
Asia/Jerusalem;Jerusalem
Asia/Baghdad;Baghdad
Asia/Kuwait;Kuwait, Riyadh
Europe/Moscow;Moscow, St. Petersburg, Volgograd
Africa/Nairobi;Nairobi
Asia/Tehran;Tehran
Asia/Muscat;Abu Dhabi, Muscat
Asia/Baku;Baku, Tbiliski, Yerevan
Asia/Kabul;Kabul
Asia/Karachi;Islamabad, Karachi, Tashkent
Asia/Calcutta;Chennai, Kolkata, Mumbai, New Delhi
Asia/Katmandu;Kathmandu
Asia/Almaty;Almaty, Novosibirsk
Asia/Dhaka;Astana, Dhaka
Asia/Colombo;Sri Jayawardenepura
Asia/Rangoon;Rangoon
Asia/Bangkok;Bangkok, Hanoi, Jakarta
Asia/Krasnoyarsk;Krasnoyarsk
Asia/Hong_Kong;Beijing, Chongging, Hong Kong, Urumqi
Asia/Irkutsk;Irkutsk, Ulaan Bataar
Asia/Singapore;Kuala Lumpur, Singapore
Australia/Perth;Perth
Asia/Taipei;Taipei
Asia/Tokyo;Osaka, Sapporo, Tokyo
Asia/Seoul;Seoul
Asia/Yakutsk;Yakutsk
Australia/Adelaide;Adelaide
Australia/Darwin;Darwin
Australia/Brisbane;Brisbane
Australia/Canberra;Canberra, Melbourne, Sidney
Pacific/Guam;Guam, Port Moresby
Australia/Hobart;Hobart
Asia/Vladivostok;Vladivostok
Asia/Magadan;Magadan, Soloman Is, New Caledonia
Pacific/Auckland;Auckland, Wellington
Pacific/Fiji;Fiji, Kamchatka, Marshall Is.
Pacific/Tongatapu;Nuku'alofa
